GameController/List: 	1859ms

GameController/GetCount: 	1864ms

GameController/List: 	1883ms

GameController/GetCount: 	1884ms

GameController/List: 	1932ms

GameController/GetCount: 	1933ms

GameController/List: 	1956ms

GameController/GetCount: 	1956ms

GameController/List: 	1979ms

GameController/GetCount: 	1980ms

GameController/List: 	2007ms

GameController/GetCount: 	2008ms

GameController/List: 	2032ms

GameController/GetCount: 	2032ms

GameController/List: 	2348ms

GameController/GetCount: 	2350ms

GameController/List: 	2484ms

GameController/GetCount: 	2485ms

GameController/List: 	2510ms

GameController/GetCount: 	2511ms

GameController/List: 	2516ms

GameController/GetCount: 	2518ms

GameController/List: 	2541ms

GameController/GetCount: 	2545ms

GameController/List: 	1560ms

GameController/GetCount: 	1565ms

GameController/List: 	1577ms

GameController/GetCount: 	1578ms

GameController/List: 	1591ms

GameController/GetCount: 	1591ms

GameController/List: 	4250ms

GameController/GetCount: 	4255ms

GameController/List: 	6792ms

GameController/GetCount: 	6793ms

GameController/List: 	7066ms

GameController/GetCount: 	7067ms

GameController/Details: 	7093ms

GameController/GetCount: 	7093ms

GameController/List: 	1091ms

GameController/GetCount: 	1096ms

GameController/List: 	1138ms

GameController/GetCount: 	1138ms

GameController/Details: 	1167ms

GameController/GetCount: 	1168ms

GameController/List: 	1178ms

GameController/GetCount: 	1179ms

GameController/Details: 	1190ms

GameController/GetCount: 	1191ms

CommentController/List: 	4292ms

CommentController/Create: 	4293ms

GameController/GetCount: 	4296ms

CommentController/Create: 	9007ms

CommentController/List: 	9035ms

CommentController/Create: 	9036ms

GameController/GetCount: 	9037ms

CommentController/Create: 	9064ms

CommentController/List: 	9068ms

CommentController/Create: 	9068ms

GameController/GetCount: 	9069ms

CommentController/Create: 	9069ms

CommentController/Create: 	9103ms

CommentController/List: 	9107ms

CommentController/Create: 	9108ms

GameController/GetCount: 	9109ms

CommentController/Create: 	9222ms

CommentController/List: 	9227ms

CommentController/Create: 	9227ms

GameController/GetCount: 	9228ms

CommentController/Create: 	9261ms

CommentController/List: 	9268ms

CommentController/Create: 	9268ms

GameController/GetCount: 	9268ms

CommentController/Create: 	9318ms

CommentController/List: 	9324ms

CommentController/Create: 	9325ms

GameController/GetCount: 	9325ms

GameController/List: 	9379ms

GameController/GetCount: 	9381ms

GameController/List: 	9423ms

GameController/GetCount: 	9424ms

GameController/List: 	907ms

GameController/GetCount: 	912ms

GameController/List: 	940ms

GameController/GetCount: 	940ms

GameController/List: 	982ms

GameController/GetCount: 	982ms

GameController/List: 	1033ms

GameController/GetCount: 	1036ms

GameController/List: 	1053ms

GameController/GetCount: 	1053ms

GameController/List: 	1024ms

GameController/GetCount: 	1032ms

GameController/List: 	880ms

GameController/GetCount: 	884ms

GameController/List: 	1089ms

GameController/GetCount: 	1094ms

GameController/List: 	1383ms

