GameController/Index: 	1361ms

GameController/GetCount: 	1369ms

OrderController/Details: 	1502ms

GameController/GetCount: 	1503ms

GameController/Details: 	1524ms

GameController/GetCount: 	1525ms

GameController/Index: 	1115ms

GameController/GetCount: 	1124ms

GameController/Details: 	1177ms

GameController/GetCount: 	1178ms

GameController/Index: 	1059ms

GameController/GetCount: 	1067ms

GameController/Details: 	1099ms

GameController/GetCount: 	1099ms

OrderController/Add: 	2979ms

GameController/Index: 	3025ms

GameController/GetCount: 	3026ms

OrderController/Details: 	4575ms

GameController/GetCount: 	4576ms

OrderController/Make: 	8680ms

GameController/GetCount: 	8680ms

OrderController/Pay: 	12789ms

GameController/Index: 	12853ms

GameController/GetCount: 	12857ms

GameController/Details: 	12875ms

GameController/GetCount: 	12875ms

OrderController/Add: 	15440ms

GameController/Index: 	15488ms

GameController/GetCount: 	15489ms

OrderController/Details: 	17175ms

GameController/GetCount: 	17176ms

GameController/Index: 	17241ms

GameController/GetCount: 	17244ms

GameController/Index: 	1537ms

GameController/GetCount: 	1545ms

GameController/Details: 	1592ms

GameController/GetCount: 	1593ms

CommentController/Index: 	1783ms

CommentController/Create: 	1784ms

GameController/GetCount: 	1784ms

CommentController/Create: 	2176ms

CommentController/Index: 	2190ms

CommentController/Create: 	2191ms

GameController/GetCount: 	2192ms

CommentController/Create: 	2218ms

CommentController/Index: 	2228ms

CommentController/Create: 	2228ms

GameController/GetCount: 	2229ms

GameController/Index: 	1460ms

GameController/GetCount: 	1468ms

GameController/Details: 	1504ms

GameController/GetCount: 	1504ms

CommentController/Index: 	1612ms

CommentController/Create: 	1613ms

GameController/GetCount: 	1614ms

CommentController/Create: 	1642ms

CommentController/Index: 	1656ms

CommentController/Create: 	1656ms

GameController/GetCount: 	1657ms

CommentController/Create: 	1668ms

CommentController/Index: 	1684ms

CommentController/Create: 	1684ms

GameController/GetCount: 	1685ms

GameController/Index: 	1470ms

GameController/GetCount: 	1478ms

GameController/Index: 	1083ms

GameController/GetCount: 	1092ms

GameController/Details: 	1136ms

GameController/GetCount: 	1137ms

CommentController/Index: 	1253ms

CommentController/Create: 	1254ms

GameController/GetCount: 	1255ms

GameController/Index: 	1309ms

GameController/GetCount: 	1317ms

GameController/Details: 	1358ms

GameController/GetCount: 	1362ms

CommentController/Index: 	1466ms

CommentController/Create: 	1467ms

GameController/GetCount: 	1468ms

GameController/Index: 	1247ms

GameController/GetCount: 	1256ms

GameController/Details: 	1277ms

GameController/GetCount: 	1278ms

CommentController/Index: 	1391ms

CommentController/Create: 	1392ms

GameController/GetCount: 	1393ms

GameController/Index: 	1423ms

GameController/GetCount: 	1433ms

GameController/Details: 	1468ms

GameController/GetCount: 	1469ms

CommentController/Index: 	1596ms

CommentController/Create: 	1597ms

GameController/GetCount: 	1597ms

GameController/Index: 	1351ms

GameController/GetCount: 	1360ms

GameController/Details: 	1395ms

GameController/GetCount: 	1396ms

CommentController/Index: 	1582ms

CommentController/Create: 	1583ms

GameController/GetCount: 	1583ms

GameController/Index: 	1305ms

GameController/GetCount: 	1313ms

GameController/Details: 	1367ms

GameController/GetCount: 	1367ms

CommentController/Index: 	1606ms

CommentController/Create: 	1607ms

GameController/GetCount: 	1607ms

CommentController/Create: 	2718ms

CommentController/Index: 	2740ms

CommentController/Create: 	2740ms

GameController/GetCount: 	2741ms

CommentController/Index: 	2755ms

CommentController/Create: 	2755ms

GameController/GetCount: 	2756ms

CommentController/Index: 	2771ms

CommentController/Create: 	2772ms

