2015-11-25 15:04:03.6926|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.AssemblyBuilder.Compile()
2015-11-25 15:04:03.8847|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.0218|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.1646|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.3050|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.4678|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.6118|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.7488|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:04.8889|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:05.0298|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
2015-11-25 15:04:05.1718|Fatal| Controller: Game | Action: Index | Message: d:\GameStoreApp\Task8\GameStore\GameStore.WebUI\Views\Game\Index.cshtml(61): error CS1061: 'GameStore.WebUI.Models.FilteredGamesViewModel' does not contain a definition for 'Filter' and no extension method 'Filter' accepting a first argument of type 'GameStore.WebUI.Models.FilteredGamesViewModel' could be found (are you missing a using directive or an assembly reference?) | Where:    at System.Web.Compilation.BuildManager.PostProcessFoundBuildResult(BuildResult result, Boolean keyFromVPP, VirtualPath virtualPath)
