GameController/List: 	5974ms

GameController/GetCount: 	5981ms

GameController/Details: 	6048ms

GameController/GetCount: 	6049ms

OrderController/Add: 	6070ms

GameController/List: 	6084ms

GameController/GetCount: 	6085ms

GameController/Details: 	6103ms

GameController/GetCount: 	6103ms

OrderController/Add: 	6123ms

GameController/List: 	6137ms

GameController/GetCount: 	6138ms

OrderController/Details: 	6139ms

GameController/GetCount: 	6139ms

OrderController/Pay: 	6216ms

OrderController/Details: 	6217ms

GameController/GetCount: 	6217ms

GameController/List: 	1546ms

GameController/GetCount: 	1551ms

OrderController/Details: 	1552ms

GameController/GetCount: 	1552ms

GameController/List: 	1376ms

GameController/GetCount: 	1381ms

GameController/Details: 	1462ms

GameController/GetCount: 	1462ms

OrderController/Add: 	1494ms

GameController/List: 	1510ms

GameController/GetCount: 	1511ms

GameController/Details: 	1538ms

GameController/GetCount: 	1539ms

OrderController/Add: 	1558ms

GameController/List: 	1575ms

GameController/GetCount: 	1576ms

OrderController/Details: 	1576ms

GameController/GetCount: 	1577ms

OrderController/Details: 	13ms

GameController/GetCount: 	1086ms

OrderController/Pay: 	15457ms

OrderController/Details: 	15457ms

GameController/GetCount: 	15458ms

OrderController/Details: 	15459ms

GameController/GetCount: 	15461ms

OrderController/Details: 	15461ms

GameController/GetCount: 	15463ms

GameController/List: 	15701ms

GameController/GetCount: 	15702ms

GameController/Details: 	15727ms

GameController/GetCount: 	15728ms

OrderController/Add: 	15749ms

GameController/List: 	15763ms

GameController/GetCount: 	15764ms

GameController/Details: 	15778ms

GameController/GetCount: 	15779ms

OrderController/Add: 	15802ms

GameController/List: 	15817ms

GameController/GetCount: 	15818ms

OrderController/Details: 	15818ms

GameController/GetCount: 	15820ms

OrderController/Make: 	18466ms

GameController/GetCount: 	18466ms

GameController/List: 	1227ms

GameController/GetCount: 	1231ms

OrderController/Details: 	1232ms

GameController/GetCount: 	1233ms

OrderController/Make: 	2790ms

GameController/GetCount: 	2790ms

GameController/List: 	1077ms

GameController/GetCount: 	1083ms

GameController/Details: 	1103ms

GameController/GetCount: 	1104ms

OrderController/Add: 	1125ms

GameController/List: 	1141ms

GameController/GetCount: 	1141ms

GameController/Details: 	1160ms

GameController/GetCount: 	1161ms

OrderController/Add: 	1179ms

GameController/List: 	1198ms

GameController/GetCount: 	1199ms

OrderController/Details: 	1200ms

GameController/GetCount: 	1201ms

OrderController/Make: 	2759ms

GameController/GetCount: 	2760ms

OrderController/Pay: 	31124ms

OrderController/Details: 	31125ms

GameController/GetCount: 	31127ms

OrderController/Make: 	39935ms

GameController/GetCount: 	39938ms

GameController/List: 	1018ms

GameController/GetCount: 	1023ms

GameController/Details: 	1044ms

GameController/GetCount: 	1044ms

OrderController/Add: 	1063ms

GameController/List: 	1082ms

GameController/GetCount: 	1082ms

GameController/Details: 	1098ms

GameController/GetCount: 	1099ms

OrderController/Add: 	1120ms

GameController/List: 	1135ms

GameController/GetCount: 	1135ms

OrderController/Details: 	1136ms

GameController/GetCount: 	1137ms

OrderController/Make: 	5896ms

GameController/GetCount: 	5897ms

OrderController/Pay: 	18177ms

GameController/List: 	1222ms

GameController/GetCount: 	1227ms

OrderController/Details: 	1229ms

GameController/GetCount: 	1230ms

CommentController/List: 	1337ms

CommentController/Create: 	1338ms

GameController/GetCount: 	1338ms

GameController/List: 	1368ms

GameController/GetCount: 	1368ms

GameController/Details: 	1387ms

GameController/GetCount: 	1388ms

OrderController/Add: 	1407ms

GameController/List: 	1425ms

GameController/GetCount: 	1427ms

GameController/Details: 	1443ms

GameController/GetCount: 	1443ms

OrderController/Add: 	1462ms

GameController/List: 	1480ms

GameController/GetCount: 	1480ms

OrderController/Details: 	1481ms

GameController/GetCount: 	1482ms

OrderController/Make: 	2953ms

GameController/GetCount: 	2954ms

OrderController/Pay: 	4723ms

CommentController/List: 	1054ms

GameController/List: 	1054ms

CommentController/Create: 	1055ms

GameController/GetCount: 	1062ms

GameController/GetCount: 	1065ms

GameController/Details: 	1082ms

GameController/GetCount: 	1082ms

OrderController/Add: 	1102ms

GameController/List: 	1120ms

GameController/GetCount: 	1120ms

GameController/Details: 	1138ms

GameController/GetCount: 	1138ms

OrderController/Add: 	1161ms

GameController/List: 	1178ms

GameController/GetCount: 	1179ms

OrderController/Details: 	1180ms

GameController/GetCount: 	1181ms

OrderController/Make: 	2761ms

GameController/GetCount: 	2762ms

OrderController/Pay: 	4395ms

OrderController/Pay: 	5806ms

GameController/List: 	1023ms

GameController/GetCount: 	1028ms

OrderController/Details: 	1030ms

GameController/GetCount: 	1031ms

OrderController/Make: 	2399ms

GameController/GetCount: 	2399ms

OrderController/Pay: 	5056ms

GameController/List: 	7113ms

GameController/GetCount: 	7118ms

GameController/List: 	3487ms

GameController/GetCount: 	3493ms

GameController/List: 	1025ms

GameController/GetCount: 	1030ms

GameController/List: 	3829ms

GameController/GetCount: 	3834ms

GameController/List: 	1131ms

GameController/GetCount: 	1136ms

GameController/List: 	1187ms

GameController/GetCount: 	1193ms

GameController/List: 	1005ms

GameController/GetCount: 	1010ms

GameController/List: 	963ms

GameController/GetCount: 	968ms

GameController/List: 	1043ms

GameController/GetCount: 	1048ms

OrderController/Details: 	5145ms

GameController/GetCount: 	5146ms

OrderController/Details: 	14858ms

GameController/GetCount: 	14859ms

GameController/List: 	14882ms

GameController/GetCount: 	14883ms

GameController/List: 	1189ms

GameController/GetCount: 	1195ms

GameController/Details: 	1210ms

GameController/GetCount: 	1211ms

OrderController/Add: 	35063ms

GameController/List: 	35085ms

GameController/GetCount: 	35086ms

OrderController/Details: 	38702ms

GameController/GetCount: 	38703ms

OrderController/Details: 	6830ms

GameController/List: 	1053ms

GameController/GetCount: 	1079ms

OrderController/Details: 	5546ms

OrderController/Details: 	5035ms

GameController/GetCount: 	5081ms

GameController/List: 	976ms

GameController/GetCount: 	980ms

GameController/List: 	992ms

GameController/GetCount: 	993ms

GameController/List: 	952ms

GameController/GetCount: 	958ms

GameController/Details: 	976ms

GameController/GetCount: 	977ms

OrderController/Add: 	3213ms

GameController/List: 	3224ms

GameController/GetCount: 	3225ms

OrderController/Details: 	6072ms

GameController/GetCount: 	6073ms

GameController/List: 	6085ms

GameController/GetCount: 	6086ms

GameController/Details: 	6099ms

GameController/GetCount: 	6099ms

OrderController/Add: 	7988ms

GameController/List: 	7999ms

GameController/GetCount: 	8000ms

OrderController/Details: 	10709ms

GameController/GetCount: 	10709ms

GameController/List: 	1003ms

GameController/GetCount: 	1008ms

OrderController/Details: 	2590ms

GameController/GetCount: 	2591ms

OrderController/Details: 	4357ms

GameController/GetCount: 	4357ms

GameController/List: 	965ms

GameController/GetCount: 	970ms

OrderController/Details: 	2601ms

GameController/GetCount: 	2601ms

OrderController/Make: 	4577ms

OrderController/Make: 	19171ms

OrderController/Make: 	6017ms

GameController/GetCount: 	6063ms

OrderController/Pay: 	14541ms

GameController/List: 	915ms

GameController/GetCount: 	920ms

OrderController/Details: 	3378ms

GameController/GetCount: 	3378ms

OrderController/Make: 	4758ms

GameController/GetCount: 	4759ms

OrderController/Pay: 	6595ms

OrderController/Details: 	7946ms

GameController/GetCount: 	7947ms

GameController/List: 	7958ms

GameController/GetCount: 	7958ms

GameController/Details: 	7985ms

GameController/GetCount: 	7985ms

OrderController/Add: 	8023ms

GameController/List: 	8033ms

GameController/GetCount: 	8034ms

OrderController/Details: 	9502ms

GameController/GetCount: 	9503ms

GameController/List: 	3324ms

GameController/GetCount: 	3329ms

GameController/List: 	908ms

GameController/GetCount: 	913ms

GameController/List: 	1016ms

GameController/GetCount: 	1022ms

GameController/List: 	808ms

GameController/GetCount: 	813ms

CommentController/List: 	2855ms

CommentController/Create: 	2855ms

GameController/GetCount: 	2856ms

GameController/List: 	815ms

GameController/GetCount: 	820ms

CommentController/List: 	6494ms

CommentController/Create: 	6495ms

GameController/GetCount: 	6496ms

GameController/List: 	794ms

GameController/GetCount: 	798ms

CommentController/List: 	865ms

CommentController/Create: 	960ms

CommentController/List: 	960ms

CommentController/Create: 	961ms

GameController/GetCount: 	961ms

GameController/GetCount: 	961ms
GameController/GetCount: 	961ms

GameController/List: 	839ms

GameController/GetCount: 	844ms

CommentController/List: 	912ms

CommentController/Create: 	913ms

CommentController/List: 	918ms

CommentController/Create: 	918ms

GameController/GetCount: 	919ms

GameController/GetCount: 	919ms

CommentController/List: 	926ms

CommentController/Create: 	927ms

GameController/GetCount: 	930ms

GameController/List: 	791ms

GameController/GetCount: 	796ms

CommentController/List: 	864ms

CommentController/List: 	869ms

CommentController/Create: 	870ms

CommentController/Create: 	870ms
CommentController/Create: 	870ms

GameController/GetCount: 	871ms

GameController/GetCount: 	871ms

CommentController/Create: 	2491ms

CommentController/List: 	2496ms

CommentController/Create: 	2496ms

GameController/GetCount: 	2497ms

CommentController/List: 	2508ms

CommentController/Create: 	2509ms

GameController/GetCount: 	2509ms

CommentController/List: 	2514ms

CommentController/Create: 	2515ms

GameController/GetCount: 	2515ms

CommentController/List: 	2522ms

CommentController/Create: 	2523ms

GameController/GetCount: 	2523ms

CommentController/List: 	2530ms

CommentController/Create: 	2531ms

GameController/GetCount: 	2531ms

CommentController/List: 	2538ms

CommentController/Create: 	2539ms

GameController/GetCount: 	2539ms

CommentController/List: 	2547ms

